,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy
0,"DecisionTreeClassifier(max_depth=3, n_bits={'op_inputs': 6, 'op_leaves': 6})",3,2,5,0.05584558303235099,0.8224497499759309,43.948130708013196,0.904
1,"DecisionTreeClassifier(max_depth=3, n_bits={'op_inputs': 6, 'op_leaves': 6})",3,2,6,0.046044667018577456,0.9441251669777557,46.04439187498065,0.892
2,"DecisionTreeClassifier(max_depth=3, n_bits={'op_inputs': 6, 'op_leaves': 6})",3,2,7,0.04699183302000165,0.8191354169975966,49.9844197499915,0.872
3,"DecisionTreeClassifier(max_depth=3, n_bits={'op_inputs': 6, 'op_leaves': 6})",3,3,5,0.040980874968227,0.8183932079700753,44.57055641699117,0.904
4,"DecisionTreeClassifier(max_depth=3, n_bits={'op_inputs': 6, 'op_leaves': 6})",3,3,6,0.042447666986845434,0.8446149170049466,45.394462542026304,0.892
5,"DecisionTreeClassifier(max_depth=3, n_bits={'op_inputs': 6, 'op_leaves': 6})",3,3,7,0.04595420905388892,0.8286507499869913,44.41820750001352,0.872
6,"DecisionTreeClassifier(max_depth=4, n_bits={'op_inputs': 6, 'op_leaves': 6})",4,2,5,0.0431982500012964,0.8201982089667581,76.70718716701958,0.932
7,"DecisionTreeClassifier(max_depth=4, n_bits={'op_inputs': 6, 'op_leaves': 6})",4,2,6,0.04382958298083395,0.8305566249764524,73.7003786250134,0.916
8,"DecisionTreeClassifier(max_depth=4, n_bits={'op_inputs': 6, 'op_leaves': 6})",4,2,7,0.0448806660133414,0.8281541659962386,77.25637100002496,0.912
9,"DecisionTreeClassifier(max_depth=4, n_bits={'op_inputs': 6, 'op_leaves': 6})",4,3,5,0.09998795797582716,0.8272244579857215,79.17035316600231,0.932
10,"DecisionTreeClassifier(max_depth=4, n_bits={'op_inputs': 6, 'op_leaves': 6})",4,3,6,0.04427362501155585,0.8294622090179473,79.46371829102281,0.916
11,"DecisionTreeClassifier(max_depth=4, n_bits={'op_inputs': 6, 'op_leaves': 6})",4,3,7,0.045964709017425776,0.8289886669954285,79.14710058399942,0.912
12,"DecisionTreeClassifier(max_depth=5, n_bits={'op_inputs': 6, 'op_leaves': 6})",5,2,5,0.062466208008117974,0.8610392910195515,116.92590804200154,0.928
13,"DecisionTreeClassifier(max_depth=5, n_bits={'op_inputs': 6, 'op_leaves': 6})",5,2,6,0.04780050000408664,0.8722541669849306,92.76208737498382,0.924
14,"DecisionTreeClassifier(max_depth=5, n_bits={'op_inputs': 6, 'op_leaves': 6})",5,2,7,0.04557925002882257,0.8306358329718933,116.33910870802356,0.92
15,"DecisionTreeClassifier(max_depth=5, n_bits={'op_inputs': 6, 'op_leaves': 6})",5,3,5,0.0422486670431681,0.8282153339823708,115.7207017079927,0.928
16,"DecisionTreeClassifier(max_depth=5, n_bits={'op_inputs': 6, 'op_leaves': 6})",5,3,6,0.0841124170110561,0.8761180830188096,95.70907758298563,0.924
17,"DecisionTreeClassifier(max_depth=5, n_bits={'op_inputs': 6, 'op_leaves': 6})",5,3,7,0.04640804202063009,0.8292812909930944,114.60164775000885,0.92
